year	id	data	03/05/2006	08/05/2006	12/05/2006	16/05/2006	17/05/2006	18/05/2006	19/05/2006	22/05/2006
2006	1	1				L				
2006	2	1				L				
2006	3	1				L				
2006	4	0								
2006	5	1				L				
2006	6	1			L					
2006	7	1						S		
2006	8	1			L					
2006	9	1			L					
2006	10	1		M	L					
2006	11	1			M	L				
2006	12	1			L					
2006	13	1			M	L				
2006	14	1			L					
2006	15	1		M	L					
2006	16	1		L						
2006	17	1		L						
2006	18	1			L					
2006	19	1			L					
2006	20	1		L						
2006	21	1			L					
2006	22	1						L		
2006	23	1		L						
2006	24	1		S	L					
2006	25	1		S	L					
2006	26	1		M	L					
2006	27	1		S	L					
2006	28	0								
2006	29	1		S	L					
2006	30	1		S	L					
2006	31	1			L					
2006	32	1			L					
2006	33	1		S	L					
2006	34	1		M	L					
2006	35	1		M	L					
2006	36	1		M	L					
2006	37	1		M	L					
2006	38	1								
2006	39	1								
2006	40	1						L		
2006	41	0								
2006	42	0								
2006	43	1		S	L					
2006	44	0								
2006	45	0								
2006	46	1		M	L					
2006	47	1			L					
2006	48	1			L					
2006	49	1			L					
2006	50	1			L					
2006	51	0								
2006	52	0								
2006	53	1		S	L					
2006	54	1			M			L		
2006	55	1		L	L					
2006	56	1				S				L
2006	57	1				L				
2006	58	1				L				
2006	59	1				L				
2006	60	1				L				
2006	61	1				L				
2006	62	1				L				
2006	63	1				L				
2006	64	1				L				
2006	65	1				L				
2006	66	1				L				
2006	67	1				L				
2006	68	1				L				
2006	69	1				L				
2006	70	1				L				
2006	71	1				L				
2006	72	1				L				
2006	73	1				L				
2006	74	1				L				
2006	75	1				S				L
2006	76	1					S			L
2006	77	1					S			L
2006	78	1					M			
2006	79	1					L			
2006	80	1					L			
2006	81	1					M	L		
2006	82	1					M	L		
2006	83	1					M	L		
2006	84	1							S	L
2006	85	1							L	
2006	86	0								
2006	87	0								
2006	88	0								
2006	89	0								
2006	90	1		M	L					
2006	91	1			L					
2006	92	0								
2006	93	1	S	M	L					
2006	94	1			L					
2006	95	0								
2006	96	0								
2006	97	1			L					
2006	98	1								
2006	99	1			L					
2006	100	0								
2006	101	0								
2006	102	0								
2006	103	0								
2006	104	0								
2006	105	0								
2006	106	0								
2006	107	0								
2006	108	0								
2006	109	0								
2006	110	0								
2006	111	0								
2006	112	0								
2006	113	0								
2006	114	1			M			L		
2006	115	0								
2006	116	0								
2006	117	0								
2006	118	0								
2006	119	0								
2006	120	0								
2006	121	1			L					
2006	122	1				L				
2006	123	0								
2006	124	0								
2006	125	0								
2006	126	0								
2006	127	0								
2006	128	0								
2006	129	0								
2006	130	0								
2006	131	0								
2006	132	0								
2006	133	0								
2006	134	0								
2006	135	0								
2006	136	0								
2006	137	0								
2006	138	0								
2006	139	1							L	
2006	140	1							L	
2006	141	1			L					
2006	142	1				L				
2006	143	1								
2006	144	1								
2006	145	1								
2006	146	1								
2006	147	1					L			
2006	148	1								
2006	149	1								
2006	150	1					L			
2006	151	1								
2006	152	1								
2006	153	1					L			
2006	154	1					L			
2006	155	1								
2006	156	1								
2006	157	0								
2006	158	0								
2006	159	0								
2006	160	0								
2006	161	0								
2006	162	0								
2006	163	0								
2006	164	0								
2006	165	0								
2006	166	0								
2006	167	0								
2006	168	0								
2006	169	0								
2006	170	0								
2006	171	0								
2006	172	0								
2006	173	0								
2006	174	0								
2006	175	0								
2006	176	0								
2006	177	0								
2006	178	0								
2006	179	0								
2006	180	0								
2006	181	0								
2006	182	0								
2006	183	0								
2006	184	0								
2006	185	0								
2006	186	0								
2006	187	0								
2006	188	0								
2006	189	0								
2006	190	0								
2006	191	0								
2006	192	0								
2006	193	0								
2006	194	0								
2006	195	0								
2006	196	0								
2006	197	0								
2006	198	0								
2006	199	0								
2006	200	0								
2006	201	0								
2006	202	0								
2006	203	0								
2006	204	0								
2006	205	0								
2006	206	0								
2006	207	0								
2006	208	0								
2006	209	0								
2006	210	0								
2006	211	0								
2006	212	0								
2006	213	0								
2006	214	0								
2006	215	0								
2006	216	0								
2006	217	0								
2006	219	0								
2006	220	0								
2006	221	0								
2006	222	0								
2006	223	0								
2006	224	0								
2006	225	0								
2006	226	0								
2006	227	0								
2006	228	0								
2006	229	0								
2006	230	0								
2006	231	0								
2006	232	0								
2006	233	0								
2006	234	0								
2006	235	0								
2006	236	0								
2006	237	0								
2006	238	0								
2006	239	0								
2006	240	0								
2006	241	0								
2006	242	0								
2006	243	0								
2006	244	0								
2006	245	0								
2006	246	0								
2006	247	0								
2006	248	0								
2006	249	0								
2006	250	0								
2006	251	0								
2006	252	0								
2006	253	0								
