"year"	"min_4"	"precipitation_3"	"precipitation_4"	"FFD_mean"	"FFD_var"
1987	0.48	25.4	5.7	66.2558940242763	16.6992341240293
1988	0.252682324607639	15.8	26.4	59.9078947368421	20.2448572411421
1989	1.965	51.3	19	53.8557114512472	18.8075952030297
1990	2.87833333333333	22.6	9.3	54.4624373433584	26.0936431989064
1991	1.92666666666667	28.7	9.3	64.9951388888889	36.445530726257
1992	1.16833333333333	29.9	79.8	59.850478927203	9.97563718140943
1993	1.435	16.6	18.5	55.7371233521657	13.965395480226
1994	2.49	43	35.3	60.2000705585265	30.1449025357944
1995	1.07166666666667	51.6	72.2	69.5369047619048	17.3199767711963
1996	0.538333333333333	9.1	4.7	71.554144265233	26.0112772095463
2006	1.12333333333333	29.2	38.8	58.52844066763	19.4585905770187
2007	1.94	37.5	28.8	51.600511979339	34.8346145888186
2008	2.39333333333333	39.1	41.5	48.0604938271605	34.0753086419753
2009	2.04833333333333	47.4	3.7	55.8736880307809	25.391420501156
2010	1.17666666666667	15.1	24.8	58.6867371786377	10.9592425896259
2011	3.73833333333333	18.6	11.8	53.454675079564	25.4787185086113
2012	0.896666666666667	4.8	62.2	55.6565802048019	18.0758728640345
2013	-0.115	6	39.1	59.4749396135266	5.03367433930093
2014	1.99833333333333	41.3	35.2	53.9693808870659	40.5640479454347
2015	3.26628846771551	78.2	7.9	52.8356167029896	54.1623737233535
2016	1.90833333333333	29.7	34.3	52.4599250245821	17.6148862199747
2017	0.576666666666667	45.2	29.8	59.2348514211886	12.5010901162792
