"","year","min_4","precipitation_3","precipitation_4","seldiff","SE_seldiff"
"1","1987",0.48,25.4,5.7,-0.371927964908002,0.0917779590563533
"2","1988",0.252682324607639,15.8,26.4,-0.30196525945715,0.106333844952839
"3","1989",1.965,51.3,19,-0.608761386137903,0.127710345233979
"4","1990",2.87833333333333,22.6,9.3,-0.503934877098189,0.161039620750596
"5","1991",1.92666666666667,28.7,9.3,-0.599878146484192,0.0784546096538995
"6","1992",1.16833333333333,29.9,79.8,-0.437888915936159,0.183168483841213
"7","1993",1.435,16.6,18.5,-0.448202131612605,0.131449723123546
"8","1994",2.49,43,35.3,-0.558065561988337,0.175664044813595
"9","1995",1.07166666666667,51.6,72.2,-0.486618530716963,0.217600280608301
"10","1996",0.538333333333333,9.1,4.7,-0.373301686887965,0.106288810611092
"11","2006",1.12333333333333,29.2,38.8,-0.423067852658122,0.133157488929934
"12","2007",1.94,37.5,28.8,-0.410853011135741,0.110671897044932
"13","2008",2.39333333333333,39.1,41.5,-0.499776778515361,0.120467965518168
"14","2009",2.04833333333333,47.4,3.7,-0.212848151573398,0.275867418790415
"15","2010",1.17666666666667,15.1,24.8,-0.491961110253553,0.163562717792843
"16","2011",3.73833333333333,18.6,11.8,-0.696114076939551,0.196369477124111
"17","2012",0.896666666666667,4.8,62.2,-1.03479805353538,0.187054407514414
"18","2013",-0.115,6,39.1,-0.425287927673217,0.322368000793495
"19","2014",1.99833333333333,41.3,35.2,-0.668102131903368,0.173353946131174
"20","2015",3.26628846771551,78.2,7.9,0.0480660112933153,0.231330199919966
"21","2016",1.90833333333333,29.7,34.3,-0.350988190938317,0.0957963219646057
"22","2017",0.576666666666667,45.2,29.8,0.281786297553482,0.497352734692677
